title,code,type,en,fr,status
Selected,LBL_SELECTED,admin,Selected,choisi,Active
E-Wallet Balance,LBL_WALLET_BALANCE,admin,E-Wallet Balance,E-Wallet Équilibre,Active
Credit Card,LBL_CREDIT_CARD,admin,Credit Card,Carte de crédit,Active
Add New Card,LBL_ADD_NEW_CARD,admin,Add New Card,Ajouter une nouvelle carte,Active
Select,LBL_SELECT,admin,Select,Sélectionner,Active
Home,LBL_HOME,admin,Home,Accueil,Active
Please upload Vehicle Road Tax photo,LBL_PLEASE_UPLOAD_VEHICLE_ROAD_TAX_PHOTO,admin,Please upload Vehicle Road Tax photo,S'il vous plaît télécharger moi taxe routière photo du véhicule,Active
Please enter Vehicle number,LBL_PLEASE_ENTER_VEHICLE_NUMBER,admin,Please enter Vehicle number,S'il vous plaît entrer le numéro du véhicule,Active
Please upload insurance covernote photo,LBL_PLEASE_UPLOAD_INSURANCE_COVERNOTE_PHOTO,admin,Please upload insurance covernote photo,S'il vous plaît assurance télécharger photo covernote,Active
Please upload vehicle front side photo,LBL_PLEASE_UPLOAD_VEHICLE_FRONT_SIDE_PHOTO,admin,Please upload vehicle front side photo,S'il vous plaît véhicule photo télécharger côté avant,Active
Please upload Vehicle rear side photo,LBL_PLEASE_UPLOAD_VEHICLE_REAR_SIDE_PHOTO,admin,Please upload Vehicle rear side photo,S'il vous plaît télécharger photo latérale arrière du véhicule,Active
Please upload Vehicle left side photo,LBL_PLEASE_UPLOAD_VEHICLE_LEFT_SIDE_PHOTO,admin,Please upload Vehicle left side photo,S'il vous plaît télécharger le côté gauche du véhicule I photo,Active
Please upload Vehicle right side photo,LBL_PLEASE_UPLOAD_VEHICLE_RIGHT_SIDE_PHOTO,admin,Please upload Vehicle right side photo,S'il vous plaît télécharger photo I côté droit du véhicule,Active
ID Number :,LBL_ID_NUMBER,admin,ID Number :,Numéro ID:,Active
Driving License (Front),LBL_DRIVING_LICENCE_FRONT,admin,Driving License (Front),Permis de conduire (avant),Active
Driving License (Back),LBL_DRIVING_LICENCE_BACK,admin,Driving License (Back),Permis de conduire (Retour),Active
NRIC (Front),LBL_NIRC_FRONT,admin,NRIC (Front),NRIC (avant),Active
NRIC (Back),LBL_NIRC_BACK,admin,NRIC (Back),CIRN (Retour),Active
Add Vehicle,LBL_ADD_VEHICLE,admin,Add Vehicle,Ajouter véhicule,Active
HOURS,LBL_HOURS,admin,HOURS,HEURES,Active
DAYS,LBL_DAYS,admin,DAYS,JOURNÉES,Active
MINS,LBL_MINS,admin,MINS,MINS,Active
SECS,LBL_SECS,admin,SECS,SECS,Active
Delete,LBL_DELETE,consumer,Delete,Supprimer,Active
Ok,LBL_OK,admin,OK,d'accord,Active
Cash,LBL_CASH,consumer,Cash,En espèces,Active
Earned,LBL_EARNED,admin,Today's Earned,Aujourd'hui est Earned,Active
Date & Times,LBL_DATE_TIMES,admin,Date \u0026 Times,Date \ u0026 temps,Active
Car Info,LBL_CAR_INFO,admin,Car Info,info voiture,Active
Customer has cancel the request,LBL_CUSTOMER_HAS_CANCEL_THE_REQUEST,admin,Customer has cancel the request,Customer've annuler la demande,Active
Online,LBL_ONLINE,admin,Online,En ligne,Active
Trip cancel successfull,LBL_TRIP_CANCEL_SUCCESSFULL,admin,Trip cancel successfull,Annuler voyage Successfull,Active
Pull to refresh,LBL_PULL_TO_REFRESH,admin,Pull to refresh,Tirer pour rafraîchir,Active
Card Number,LBL_CARD_NUMBER,admin,Card Number,Numéro de carte,Active
Full name as appears on the card,LBL_NAME_AS_APPEARS_ON_THE_CARD,admin,Full name as appears on the card,"Nom complet, tel qu'il apparaît sur la carte",Active
Save Card,LBL_SAVE_CARD,admin,Save Card,Carte Enregistrer,Active
Your payment info is stored securely,LBL_YOUR_PAYMENT_INFO_IS_STORED_SECURELY,admin,Your payment info is stored securely,Vos informations de paiement sont stockées en toute sécurité,Active
MM/YY,LBL_MM_YY,admin,MM/YY,MM / AA,Active
Inefficent balance in your wallet,LBL_INEFFICENT_BALANCE_IN_YOUR_WALLET,admin,Inefficent balance in your wallet,équilibre inefficent dans votre portefeuille,Active
Close,LBL_CLOSE,admin,Close,Fermer,Active
Package purchase successfully,LBL_PACKAGE_PURCHASE_SUCCESSFULLY,admin,Package purchase successfully,Forfait achat avec succès,Active
USE WALLET,LBL_USE_WALLET,admin,USE WALLET,UTILISATION WALLET,Active
Internal server error,MSG_INTERNAL_SERVER_ERROR,admin,Internal server error,Erreur Interne du Serveur,Active
No history available yet!,LBL_NO_HISTORY_AVAILABLE_AT,admin,No history available yet!,Pas d'historique encore disponibles!,Active
Package History,LBL_PACKAGE_HISTORY,admin,Package History,histoire paquet,Active
Update,LBL_UPDATE,admin,Update,Mettre à jour,Active
Profile update successfully,LBL_PROFILE_UPDATE_SUCCESSFULLY,admin,Profile update successfully,mise à jour le profil avec succès,Active
Yes,BTN_YES,admin,Yes,Et c'est,Active
No,BTN_NO,admin,No,ne pas,Active
Are you sure you want to delete?,LBL_ARE_YOU_SURE_YOU_WANT_TO_DELETE,admin,Are you sure you want to delete?,Etes-vous sûr que vous voulez supprimer?,Active
No notification yet!,LBL_NO_NOTIFICATION_YET,admin,No notification yet!,Pas encore notification!,Active
Update Vehicle,LBL_UPDATE_VEHICLE,admin,Update Vehicle,Mise à jour du véhicule,Active
Vehicle added successfully,LBL_VEHICLE_ADDED_SUCCESSFULLY,admin,Vehicle added successfully,Véhicule ajouté avec succès,Active
Vehicle updated successfully,LBL_VEHICLE_UPDATED_SUCCESSFULLY,admin,Vehicle updated successfully,Véhicule mis à jour avec succès,Active
 Used Wallet : RM ,LBL_USED_WALLET_RM,admin,Used Wallet : RM,Porte-monnaie occasion: RM,Active
Mol pay,LBL_MOL_PAY,admin,Mol pay,mol payer,Active
Add Money,LBL_ADD_MONEY,admin,Add Amount,Ajouter Montant,Active
Add Balance,LBL_ADD_BALANCE,admin,Add Balance,Ajouter équilibre,Active
View Transactions,LBL_VIEW_TRANSACTIONS,admin,View Transactions,Voir les transactions,Active
Profile update sucessfully,LBL_PROFILE_UPDATE_SUCESSFULLY,admin,Profile update sucessfully,Profil mise à jour sucessfully,Active
Trip completed,LBL_TRIP_COMPLETED,admin,Trip completed,voyage terminé,Active
Are you sure want to log out?,LBL_ARE_YOU_SURE_WANT_TO_LOG_OUT,admin,Are you sure want to log out?,Êtes-vous sûr de vouloir vous déconnecter?,Active
Yes,LBL_YES,admin,Yes,Et c'est,Active
No,LBL_NO,admin,No,ne pas,Active
Press click back again to exit,LBL_PRESS_CLICK_BACK_AGAIN_TO_EXIT,admin,Press click back again to exit,Appuyez sur la touche à nouveau pour quitter arrière,Active
Add additional charges,LBL_ADD_ADDITIONAL_CHARGES,admin,Add additional charges,Ajouter des frais supplémentaires,Active
Add Address,LBL_ADD_ADDRESS,consumer,Add Address,Ajoutez l'adresse,Active
Select charge type,LBL_SELECT_CHARGE_TYPE,admin,Select charge type,Sélectionner le type de charge,Active
Press click back again to exit,LBL_PRESS_CLICK_BACK_AGAIN_TO_EXIT,consumer,Press click back again to exit,Appuyez sur la touche à nouveau pour quitter arrière,Active
No history available at,LBL_NO_HISTORY_AVAILABLE_AT,consumer,No history available at,Pas d'historique disponible,Active
Card Number,LBL_CARD_NUMBER,consumer,Card Number,Numéro de carte,Active
Successfully picked up,LBL_SUCCESSFULLY_PICKED_UP,admin,Successfully picked up,Avec succès ramassé,Active
Full name as appears on the card,LBL_NAME_AS_APPEARS_ON_THE_CARD,consumer,Full name as appears on the card,"Nom complet, tel qu'il apparaît sur la carte",Active
MM/YY,LBL_MM_YY,consumer,MM/YY,MM / AA,Active
Save Card,LBL_SAVE_CARD,consumer,Save Card,Carte Enregistrer,Active
Trip has been started,LBL_SUCCESSFULLY_STARTED_TRIP,admin,Trip has been started,Voyage a été démarré,Active
Your payment info is stored securely,LBL_YOUR_PAYMENT_INFO_IS_STORED_SECURELY,consumer,Your payment info is stored securely,Vos informations de paiement sont stockées en toute sécurité,Active
*Popular Questions,LBL_POPULAR_QUESTIONS,consumer,Frequently asked questions,Questions fréquemment posées,Active
*Save,LBL_SAVE,consumer,Save,sauver,Active
*Title,LBL_TITLE,consumer,Title,Titre,Active
*Address,LBL_ADDRESS,consumer,Address,adresse,Active
*Add Money,LBL_ADD_MONEY,consumer,Add money,Ajouter de l'argent,Active
*Enter Amount,LBL_ENTER_AMOUNT,consumer,Enter amount,Entrer le montant,Active
*KM,LBL_KM,consumer,KM,KM,Active
*Trip Invoice,LBL_TRIP_INVOICE,consumer,Trip invoice,facture de voyage,Active
*Vehicle Category,LBL_VEHICLE_CATEGORY,consumer,Vehicle category,Catégorie de véhicules,Active
*Total Fare,LBL_TOTAL_FARE,consumer,Total fare,Prix ​​total,Active
*Total Distance,LBL_TOTAL_DISTANCE,consumer,Total distance,Distance totale,Active
*Pull to refresh,LBL_PULL_TO_REFRESH,consumer,Pull to refresh,Tirer pour rafraîchir,Active
*You have canceled this trip,LBL_YOU_HAVE_CANCELED_THIS_TRIP,consumer,You have canceled this trip,Vous avez annulé voyage,Active
*Haribhagat not exists,LBL_CONSUMER_NOT_EXISTS,consumer,Customer does not exists,Client n'existe pas,Active
*Route not found please try other location,LBL_ROUTE_NOT_FOUND_PLEASE_TRY_OTHER_LOCATION,consumer,"Route not found, please try another location.","Route ne se trouve pas, s'il vous plaît essayer un autre endroit.",Active
*Please select address,LBL_PLEASE_SELECT_ADDRESS,consumer,Please select address,S'il vous plaît sélectionner l'adresse,Active
*Waiting for admin..,LBL_WAITING_FOR_DRIVER,consumer,Waiting for admin...,En attente de pilote ...,Active
*Min,LBL_MIN,consumer,Min,min,Active
*Trip Details,LBL_TRIP_DETAILS,consumer,Trip details,Infos,Active
*Duplicate user in database,LBL_DUPLICATE_USER_IN_DATABASE,consumer,Duplicate user in database,utilisateur en double dans la base de données,Active
*Full name as appears on the card,LBL_FULL_NAME_AS_APPEARS_ON_THE_CARD,consumer,Full name as appears on the card,"Nom complet, tel qu'il apparaît sur la carte",Active
*You payment info is stored securely.,LBL_YOU_PAYMENT_INFO_IS_STORED_SECURELY.,consumer,Your payment information has been stored securely.,Vos informations de paiement a-été stockées de manière sécurisée.,Active
*Add Balance,LBL_ADD_BALANCE,consumer,Add balance,Ajouter équilibre,Active
*Please enter amount,LBL_PLEASE_ENTER_AMOUNT,consumer,Please enter amount,S'il vous plaît entrez le montant,Active
*Title can't be empty,LBL_TITLE_CAN_NOT_BE_EMPTY,consumer,Title cannot be empty,Le titre ne peut être vide,Active
*Please enter address,LBL_PLEASE_ENTER_ADDRESS,consumer,Please enter address,S'il vous plaît entrer l'adresse,Active
*Home saved Successfully,LBL_HOME_SAVED_SUCCESSFULLY,consumer,Home address added Successfully,Adresse du domicile joint,Active
*Work saved Successfully,LBL_WORK_SAVED_SUCCESSFULLY,consumer,Workplace saved successfully,En milieu de travail avec succès sauvé,Active
*Address Added Successfully,LBL_ADDRESS_ADDED_SUCCESSFULLY,consumer,Address added successfully,Adresse ajouté avec succès,Active
*Address delete successful,LBL_ADDRESS_DELETE_SUCCESSFUL,consumer,Address deleted successfully,Adresse supprimé avec succès,Active
*Your Feedback,LBL_YOUR_FEEDBACK,consumer,Your feedback,vos réactions,Active
*Edited successfully,LBL_EDIT_SUCCESSFUL,consumer,Edited successfully,avec succès édité,Active
*Please enter your Feedback,LBL_PLEASE_ENTER_YOUR_FEEDBACK,consumer,Please enter your feedback,S'il vous plaît entrer vos commentaires,Active
*Rating given successfully,LBL_SUCCESSFULLY_GIVEN_RATING,consumer,Rating given successfully,Compte tenu avec succès Note,Active
*Coupon applied successfully,LBL_COUPNE_APPLIED_SUCCESSFUL,consumer,Coupon applied successfully,Coupon appliqué avec succès,Active
*Coupon not exists,LBL_COUPNE_NOT_EXISTS,consumer,Invalid coupon,coupon non valide,Active
*Coupon not active,LBL_COUPNE_NOT_ACTIVE,consumer,Invalid coupon,coupon non valide,Active
*Coupon expired,LBL_COUPNE_EXPIRED,consumer,Coupon expired,coupon a expiré,Active
*Profile photo updated successfully,LBL_PROFILE_PHOTO_UPDATED_SUCCESSFULLY,consumer,Profile photo updated successfully,Photo de profil mis à jour avec succès,Active
*Your package plan expire please buy for next ride,LBL_YOUR_PACKAGE_PLAN_EXPIRE_PLEASE_BUY_FOR_NEXT_RIDE,admin,Your subscription has expired. Please purchase a new plan to accept rides.,Votre abonnement a expiré. S'il vous plaît acheter un nouveau plan pour accepter des promenades.,Active
*Update profile successfully.,LBL_UPDATE_PROFILE_SUCCESSFULLY,consumer,Profile updated successfully.,Mise à jour du profil réussie.,Active
*Please select charge type,LBL_PLEASE_SELECT_CHARGE_TYPE,admin,Select charge type,Sélectionner le type de charge,Active
*Please enter charge amount,LBL_PLEASE_ENTER_CHARGE_AMOUNT,admin,Enter charge amount,Entrez charge de montant,Active
*added successfully,LBL_ADDED_SUCCESSFULLY,admin,Added successfully,ajouté avec succès,Active
*Please turn on internet,MSG_PLEASE_TURN_ON_INTERNET,admin,Please turn on internet connection,S'il vous plaît activer une connexion Internet,Active
*OTP resent successfully,LBL_OTP_RESEND_SUCCESSFULLY,admin,OTP resent successfully,OTP avec succès renvoyé,Active
*Admin not exists with this mobile number,LBL_DRIVER_NOT_EXISTS_WITH_THIS_MOBILE_NUMBER,admin,Admin account does not exists,compte du pilote n'existe pas,Active
*Pickup and Dropoff locations are not same,LBL_PICKUP_AND_DROPOFF_LOCATIONS_ARE_NOT_SAME,consumer,Pick up and drop off locations cannot be the same,Prise en charge et des lieux de service ne peuvent pas être les mêmes,Active
*Your account is not active. Please contact to administrator,LBL_YOUR_ACCOUNT_IS_NOT_ACTIVE_PLEASE_CONTACT_TO_ADMINISTRATOR,admin,Your account is inactive. Please contact our support team.,Votre compte est inactif. S'il vous plaît contacter notre équipe d'assistance.,Active
*Duplicate user in database,LBL_DUPLICATE_USER_IN_DATABASE,admin,Duplicate user in database,utilisateur en double dans la base de données,Active
*Please select pickup and dropoff location,LBL_PLEASE_SELECT_PICKUP_AND_DROPOFF_LOCATION,consumer,Please select pick up \u0026 drop off location,S'il vous plaît sélectionner ramasser \ déposer emplacement u0026,Active
*Toll charges,LBL_TOLL_TAX_CHARGES,consumer,Toll charges,Les frais de péage,Active
*Parking Charges,LBL_PARKING_CHARGES,consumer,Parking charges,Les frais de stationnement,Active
*Waiting Charges,LBL_WAITING_CHARGES,consumer,Waiting charges,frais d'attente,Active
*Promo code,LBL_PROMO_CODE,consumer,Promo code,Code promo,Active
*Payment Type,LBL_PAYMENT_TYPE,consumer,Payment Type,Type de paiement,Active
*Discount,LBL_DISCOUNT,consumer,Discount,Remise,Active
"*Note : Discount apply on trip fare excluding parking charge,tall tax charge,waiting charge etc",NOTE_DISCOUNT_APPLY_ON_TRIP_FARE_EXCLUDING_PARKING_CHARGE_TALL_TAX_CHARGE_WAITING_CHARGE_ETC,consumer,"Note : Discount applied excludes parking charges, tolls, waiting charges and etc.","Note: Remise appliquée exclut les frais de stationnement, les péages, les frais d'attente et etc.",Active
*Cancel trip?,LBL_CANCEL_TRIP,consumer,Confirm Trip Cancellation?,Confirmer Annulation de voyage?,Active
*Confirm Trip Cancellation?,LBL_REALLY_YOU_WANT_CANCEL_TRIP,consumer,Confirm Trip Cancellation?,Confirmer Annulation de voyage?,Active
"*Yes, Cancel",LBL_YES_CANCEL,consumer,"Yes, cancel.","Oui, annuler.",Active
*OK,LBL_OK,consumer,OK,d'accord,Active
*Confirm,LBL_CONFIRM,consumer,Confirm,Confirmer,Active
 *Schedule a Ride,LBL_SCHEDULE_A_RIDE,consumer,Schedule a ride,Planifier un voyage,Active
*Vehicle Category,LBL_VEHICAL_CATEGORY,consumer,Vehicle Category,Catégorie de véhicule,Active
*Note Trip Invoice,LBL_NOTE_TRIP_INVOICE,consumer,"Note : Discount applied excludes parking charges, tolls, waiting charges and etc.","Note: Remise appliquée exclut les frais de stationnement, les péages, les frais d'attente et etc.",Active
*Are you sure want to logout?,LBL_ARE_YOU_SURE_WANT_TO_LOGOUT,consumer,Are you sure want to logout?,Voulez-vous vraiment dconnecter?,Active
NRIC No. (Malaysians Only),LBL_NRIC_MALAYSIAN_ONLY,consumer,NRIC No. (Malaysians only),Non CIRN (Malaisiens seulement),Active
*Passport No (For non Malaysian only),LBL_PASSPORT_NO_FOR_NON_MALAYSIAN_ONLY,consumer,Passport No. (For non-Malaysian only),Passeport No. (Pour seulement non-malais),Active
*NRIC image,LBL_NRIC_IMAGE,consumer,NRIC image,l'image CIRN,Active
*Edited successfully,LBL_EDIT_SUCCESSFUL,consumer,Edited successfully,avec succès édité,Active
*I have Referral code(Optional),LBL_I_HAVE_REFERRAL_CODE_OPTIONAL,consumer,I have referral code (Optional),J'ai le code de référence (en option),Active
*Enter Referral code,LBL_ENTER_REFERRAL_CODE,consumer,Enter referral code,Entrez le code de référence,Active
*Please enter NRIC number,LBL_PLEASE_ENTER_NRIC_NUMBER,consumer,Please enter NRIC number,S'il vous plaît entrer le numéro CIRN,Active
*Please enter passport number,LBL_PLEASE_ENTER_PASSPORT_NUMBER,consumer,Please enter passport number,S'il vous plaît entrer le numéro de passeport,Active
*Please upload NRIC photo,LBL_PLEASE_UPLOAD_NRIC_PHOTO,consumer,Please upload NRIC photo,S'il vous plaît télécharger photo CIRN,Active
*Please upload passport Photo,LBL_PLEASE_UPLOAD_PASSPORT_PHOTO,consumer,Please upload passport photo,S'il vous plaît photo passeport de téléchargement,Active
*Profile updated successfully,LBL_PROFILE_UPDATE_SUCESSFULLY,consumer,Profile updated successfully,Mise à jour du profil réussie,Active
*Yes,LBL_YES,consumer,Yes,Et c'est,Active
*No,LBL_NO,consumer,No,ne pas,Active
*Please enter amount,LBL_PLEASE_ENTER_AMOUNT,admin,Please enter amount,S'il vous plaît entrez le montant,Active
*Please enter amount,LBL_PLEASE_ENTER_AMOUNT,admin,Please enter amount,S'il vous plaît entrez le montant,Active
*Error occur while getting wallet balance. please try again,LBL_ERROR_OCCURE_WHILE_GETTING_WALLET_BALANCE_PLEASE_TYR_AGAIN,admin,Error occurred getting wallet balance. Please try again.,Une erreur est survenue obtenir l'équilibre de portefeuille. Veuillez réessayer.,Active
Toll tax charges,LBL_TOLL_TAX_CHARGES,admin,Toll tax charges,charges fiscales des péages,Active
*Parking Charges,LBL_PARKING_CHARGES,admin,Parking Charges,Frais de stationnement,Active
*Waiting Charges,LBL_WAITING_CHARGES,admin,Waiting Charges,Les frais d'attente,Active
*Now not available any job for you,LBL_NOW_NOT_AVAILABLE_ANY_JOB_FOR_YOU,admin,No rides available now,Pas de randos disponible dès maintenant,Active
*Customer feedback,LBL_CUSTOMER_FEEDBACK,admin,Customer feedback,Commentaires des clients,Active
*Base Fare,LBL_BASE_FARE,admin,Base Fare,Tarif de base,Active
*Per KM Fare,LBL_PER_KM_FARE,admin,Per KM Fare,Par KM Fare,Active
*Additional Charges,LBL_ADDITIONAL_CHARGES,admin,Additional charges,Frais supplémentaires,Active
*Parking Charge,LBL_PARKING_CHARGE,admin,Parking charge,Frais de stationnement,Active
*Tall Tax Charge,LBL_TALL_TAX_CHARGE,admin,Tall Tax Charge,Charge fiscale haute,Active
*No any feedback yet,LBL_NO_ANY_FEEDBACK_YET,admin,No feedback received yet,Aucun commentaire reçu encore,Active
*Per KM Fare,LBL_PER_KM_FARE,consumer,Per KM Fare,Par KM Fare,Active
*Additional Charges,LBL_ADDITIONAL_CHARGES,consumer,Additional Charges,Frais supplémentaires,Active
*Payable Amount,LBL_PAYABLE_AMOUNT,consumer,Payable Amount,Montant payable,Active
*Payment Done,LBL_PAYMENT_DONE,consumer,Payment Done,Paiement effectué,Active
*Ride Scheduled,LBL_RIDE_SCHEDULED,consumer,Ride Scheduled,tour prévue,Active
*Your ride has been scheduled. Admin details will be shared few min before your pickup time,LBL_YOUR_RIDE_HAS_BEEN_SCHEDULED_DRIVER_DETAILS_WILL_BE_SHARED_FEW_MIN_BEFORE_YOUR_PICKUP_TIME,consumer,Your ride has been scheduled. Admin details will be sent to you a few mins before your pickup time,Votre tour a-été prévu. Détails du pilote vous sera envoyé quelques minutes avant votre pick-up,Active
*Got It,LBL_GOT_IT,consumer,Got it,Je l'ai,Active
*Rate Us,LBL_RATE_US,consumer,Rate Us,évaluez nous,Active
*Submit,LBL_SUBMIT,consumer,Submit,soumettre,Active
*Economy,LBL_ECONOMY,consumer,Economy,Économie,Active
*0% Commissions,LBL_COMMISSION,admin,0% Commissions,0% Commissions,Active
*Earn more & drive less,LBL_EARN_MORE_DRIVE_LESS,admin,Earn more \u0026 drive less,Gagner plus \ u0026 lecteur moins,Active
*Debit or Credit Card,LBL_MOLPAY,consumer,Credit Card,Carte de crédit,Active
*Insufficient balance in your wallet,LBL_INEFFICENT_BALANCE_IN_YOUR_WALLET,consumer,Insufficient balance in your e-wallet,Solde insuffisant dans votre porte-monnaie électronique,Active
*Error occur while getting wallet balance. please try again,LBL_ERROR_OCCURE_WHILE_GETTING_WALLET_BALANCE_PLEASE_TYR_AGAIN,consumer,An error occurred while getting wallet balance. Please try again,Une erreur est survenue lors de l'obtention de l'équilibre portefeuille. Veuillez réessayer,Active
*No one has accept your request please try again,LBL_NO_ONE_HAS_ACCEPT_YOUR_REQUEST_PLEASE_TRY_AGAIN,consumer,No admin has accepted your request. Please try again later,Aucun pilote a accepté votre demande. Veuillez réessayer plus tard,Active
*Edit Pickup Time,LBL_EDIT_PICKUP_TIME,consumer,Edit Pickup Time,Modifier l'heure de ramassage,Active
*Complete,LBL_COMPLETE,admin,Completed,Terminé,Active
*Select Source,LBL_SELECT_SOURCE,admin,Select Source,Sélectionner la source,Active
*Select Source,LBL_SELECT_SOURCE,consumer,Select Source,Sélectionner la source,Active
*No history available yet!,LBL_NO_HISTORY_AVAILABLE_YET,consumer,No transactions history,Pas d'historique des transactions,Active
*Base Fare,LBL_BASE_FARE,consumer,Base Fare,Tarif de base,Active
*Completed,LBL_COMPLETE,consumer,Completed,Terminé,Active
*Payable Amount,LBL_PAYBLE_AMOUNT,consumer,Payable Amount,Montant payable,Active
*Additional charges,LBL_ADDITIONAL_CHARGES,consumer,Additional charges,Frais supplémentaires,Active
Note,LBL_NOTE,consumer,Note,Remarque,Active
Tall Tax Charges,LBL_TALL_TAX_CHARGES,consumer,Tall Tax Charges,Charge d'impôts de grande taille,Active
*Total Earned :,LBL_TOTAL_EARN,admin,Total Earned,Total Gagné,Active
"Friend joins,friend earn",LBL_INVITE_FRIENDS_NOTE_1,consumer,"Friend joins, friend earn","Ami rejoint, ami gagner",Active
"Friend ride,you earn",LBL_INVITE_FRIENDS_NOTE_2,consumer,"Friend ride, you earn","tour ami, vous gagnez",Active
*Saved Places,LBL_SAVED_PLACES,consumer,Saved Places,Adresses enregistrées,Active
*Add Address,LBL_ADD_ADDRESS,consumer,Add Address,Ajoutez l'adresse,Active
*Search,LBL_SEARCH,consumer,Search,Chercher,Active
*Please select address properly,LBL_PLEASE_SELECT_ADDRESS_PROPERLY,consumer,Please select address correctly,S'il vous plaît sélectionner correctement l'adresse,Active
*Please Enter Address,LBL_PLEASE_ENTER_ADDRESS,consumer,Please Enter Address,S'il vous plaît Entrez votre adresse,Active
*Please enter note,LBL_PLEASE_ENTER_NOTE,consumer,Please enter note,S'il vous plaît entrer note,Active
*Please enter coupon code,MSG_PLEASE_ENTER_COUPON_CODE,consumer,Please enter coupon code,S'il vous plaît entrer le code de coupon,Active
*Select Time,LBL_SELECT_TIME,consumer,Select Time,Sélectionnez Heure,Active
*Select Date,LBL_SELECT_DATE,consumer,Select Date,Sélectionner une date,Active
*Your subscription has expired. Please purchase a new plan to accept rides.,LBL_YOUR_PACKAGE_PLANE_EXPIRE_PLEASE_BUY_FOR_NEXT_RIDE,admin,Your subscription has expired. Please purchase a new plan to accept rides.,Votre abonnement a expiré. S'il vous plaît acheter un nouveau plan pour accepter des promenades.,Active
*Customer Notes,LBL_CUSTOMER_NOTES,admin,Customer Notes,Notes clients,Active
*Message,LBL_Message,admin,Message,message,Active
*Admin not exists,LBL_DRIVER_NOT_EXISTS,admin,Account does not exists,Le compte n'existe pas,Active
*Deactivate,LBL_DEACTIVATE,admin,Deactivate,désactiver,Active
*Unauthorized access to resource,LBL_UNAUTHORIZED_ACCESS_TO_RESOURCE,admin,Unauthorized Access,L'accès non autorisé,Active
*Minimum Fare,LBL_MINIMUM_FARE,consumer,Minimum Fare,tarif minimum,Active
*Status,LBL_STATUS,admin,Status,Statut,Active
*Payment Type,LBL_PAYMENT_TYPE,admin,Payment type,Type de paiement,Active
*Please select any language,LBL_PLEASE_SELECT_ANY_LANGUAGE,consumer,Please select a language,S'il vous plaît choisir une langue,Active
*Please select any language,LBL_PLEASE_SELECT_ANY_LANGUAGE,admin,Please select a language,S'il vous plaît choisir une langue,Active
*Min KM Fare,LBL_MIN_KM,consumer,Min KM Fare,KM min Fare,Active
*Minimum Fare,LBL_MINIMUM_FARE,admin,Minimum Fare,tarif minimum,Active
*Charges added successfully,LBL_CHARGES_ADDED_SUCESSFULLY,admin,Charges added successfully,Frais ajouté avec succès,Active
Trip has been picked up,LBL_SUCCESSFULLY_PICKEDUP,admin,Trip has been picked up,Voyage a été repris,Active
*Profile picture uploaded successfully,LBL_PROFILE_PICTURE_UPLOADED_SUCCESSFULLY,consumer,Profile picture uploaded successfully,image profil téléchargé avec succès,Active
*Profile picture uploaded successfully,LBL_PROFILE_PICTURE_UPLOADED_SUCCESSFULLY,admin,Profile picture uploaded successfully,image profil téléchargé avec succès,Active
*Trip accepted successfully,LBL_TRIP_ACCEPTED_SUCCESSFULLY,admin,Trip accepted successfully,Voyage avec succès accepté,Active
*Trip finished successfully,LBL_TRIP_FINISHED_SUCCESSFULLY,admin,Trip completed successfully,Voyage terminé avec succès,Active
*This trip Already canceled by consumer,LBL_THIS_TRIP_ALREADY_CANCELED_BY_CONSUMER,admin,This trip was cancelled by customer,Ce voyage a été annulé par le client,Active
*You have insufficient balance please add balance,LBL_YOU_HAVE_INSUFFICIENT_BALANCE_PLEASE_ADD_BALANCE,admin,Insufficient balance,Solde insuffisant,Active
*Per minimum Km,LBL_PER_MINIMUM_KM,consumer,Per minimum KM,Par minimum KM,Inactive
*Trip already accepted by another admin,LBL_TRIP_ALREADY_ACCEPTED_BY_ANOTHER_DRIVER,admin,Trip accepted by another admin,Voyage accepté par un autre conducteur,Active
*Please select payment type,LBL_PLEASE_SELECT_PAYMENT_TYPE,admin,Select payment type,Sélectionner le type de paiement,Active
*Added by You,ADDED_BY_YOU,consumer,Added by you,Ajouté par vous,Active
*Deduct from Trip Booking,DEDUCT_FOR_TRIP_BOOKING,consumer,Deducted from trip booking,Déduit de réservation de voyage,Active
*Added By Referral Code,ADDED_BY_REFERRAL_CODE,consumer,Added by referral code,Ajouté par le code de référence,Active
*Added By Company,ADDED_BY_COMPANY,consumer,Added by company,Ajouté par la société,Active
*Deduct By Company,DEDUCT_BY_COMPANY,consumer,Deducted by company,Déduit par la société,Active
There are not any trip available,LBL_THERE_ARE_NOT_ANY_TRIP_AVAILABLE,consumer,There are not any trip available,Il n'y a pas de voyage disponible,Active
*Admin not available for this vehicle,LBL_DRIVER_NOT_AVAILABLE_FOR_THIS_VEHICLE,consumer,Drivers are not available for this vehicle,Les conducteurs ne sont pas disponibles pour esta véhicule,Active
*Duration,LBL_DURATION,consumer,Duration,Durée,Active
*Unauthorized access to resource,LBL_UNAUTHORIZED_ACCESS_TO_RESOURCE,consumer,Error. Kindly contact our customer care team.,Erreur. Veuillez contacter notre équipe de service à la clientèle.,Active
*at,LBL_AT,consumer,at,à,Active
*mins,LBL_MINS,consumer,mins,minutes,Active
*Your Feedback,LBL_YOUR_FEEDBACK,admin,Your Feedback,vos réactions,Active
